#query id=23 conceptLabel=Bee conceptURI=02209508  labels=[hive, honey, insect, sting, maya]
0	07558676	[love]
1	00007846	[individual, someone, person, soul, somebody, mortal]
2	05722413	[fragrance, scent, perfume, aroma]
3	02086723	[dog]
4	02124272	[cat]
5	01642406	[frog, toad, anuran]
6	02326697	[coney, rabbit, cony]
7	08201135	[horde, swarm, drove]
8	02584588	[dolphin]
9	05407190	[blood]
10	06287933	[tv, telecasting, television, video]
11	07135232	[call, yell, cry, outcry, shout]
12	01864419	[mammalian, mammal]
13	07726361	[murphy, tater, potato, spud]
14	07939004	[cocoa, chocolate]
15	06790941	[gag, jest, jape, joke, laugh]
16	13793968	[droplet]
17	02209508	[bee]
18	04969961	[red, redness]
19	09567238	[vampire, lamia]
20	08206141	[circus]
21	10148670	[heavyweight, whale, giant, hulk]
22	02506148	[elephant]
23	05309998	[mouth]
24	09846929	[baby, babe, infant]
25	04976072	[blue, blueness]
26	01677105	[lizard]
27	02406106	[cow]
28	03931348	[photograph, exposure, photo, pic, picture]
29	01505702	[bird]
30	07765558	[lemon]
31	01331343	[virus]
32	07838173	[catsup, ketchup]
33	03539152	[ring, hoop]
34	12958438	[carrot]
35	09339360	[island]
36	07902824	[beer]
37	02537365	[salmon]
38	14869913	[h2o, water]
39	09950623	[clown, buffoon]
40	07769568	[banana]
41	07074002	[pop]
42	13124818	[tree]
43	07755101	[apple]
44	02785352	[balloon]
45	05396148	[ticker, pump, heart]
46	09569105	[ghost]
47	03944520	[pillow]
48	07658542	[jam]
49	13149924	[stalk, stem]
50	05906432	[ufo]
51	02441664	[giraffe]
52	14383864	[spasm, cramp]
53	05262259	[hair]
54	07889783	[pizza]
55	08196373	[rich]
56	07728304	[chip, crisp]
57	07623214	[lollipop, sucker]
58	09784701	[actor, thespian, player]
59	10352098	[mother]
60	13477888	[decay]
61	02781674	[ball]
62	07324399	[motion, movement]
63	00120388	[jumping, jump]
64	11478731	[fog]
65	02777635	[baggage, luggage]
66	02392211	[donkey]
67	02951508	[taper, candle]
68	10686626	[stupid, dullard, dolt]
69	04481701	[trap]
70	12122650	[grass]
71	15162842	[vacation, holiday]
72	11521799	[rain, rainfall]
73	07034009	[music]
74	03005231	[chair]
75	04497386	[truck]
76	04544161	[violin, fiddle]
77	09493680	[vent, volcano]
78	07590167	[breakfast]
79	07591291	[dinner]
80	04564934	NOT_FOUND
81	09473312	[sun]
82	10372030	[neighbour, neighbor]
83	09895920	[brother]
84	03241438	[dress, frock]
85	08928282	[bali]
86	04396120	[tank]
87	10344679	[hero]
88	10842973	[armstrong]
89	10043844	[domestic]
90	02852392	[cover, blanket]
91	06370600	[website, site]
92	02824762	[bedchamber, chamber, bedroom]
93	09331478	[berg, iceberg]
94	03180509	[floss]
95	08306203	[hip-hop]
96	09583190	[cupid, amor]
97	07419737	[avalanche]
98	03681809	[lipstick]
99	09376006	[meteoroid, meteor]
